generation,average,top
0,92.5,410
1,154.0,640
2,195.5,640
3,198.5,640
4,238.5,640
5,208.5,640
6,213.0,640
7,236.0,640
8,212.0,640
9,253.5,640
10,242.5,640
11,256.0,640
12,250.5,640
13,252.0,640
14,305.5,640
15,353.0,640
16,340.5,640
17,327.5,640
18,280.5,640
19,312.0,640
20,327.5,640
21,319.0,640
22,347.0,640
23,324.5,640
24,359.0,640
25,339.0,640
26,351.0,640
27,377.5,640
28,351.0,640
29,333.5,640
30,325.5,640
31,337.0,640
32,338.0,640
33,349.0,640
34,373.5,640
35,336.5,640
36,381.5,640
37,326.5,640
38,380.0,640
39,351.5,640
40,410.0,640
41,347.5,640
42,433.0,640
43,393.5,640
44,347.0,640
45,375.0,640
46,381.5,640
47,397.5,640
48,427.5,640
49,427.5,640
50,422.0,670
51,394.5,670
52,424.0,670
53,402.5,670
54,440.0,1450
55,439.0,1450
56,432.0,1450
57,436.5,1450
58,484.0,1450
59,441.0,1450
60,462.5,1450
61,412.0,1450
62,445.5,1450
63,456.0,1450
64,416.5,1450
65,460.5,1450
66,489.0,1450
67,430.5,1450
68,457.0,1450
69,486.5,1450
70,471.0,1450
71,450.0,1450
72,468.0,1450
73,498.5,1450
74,511.0,1450
75,516.5,1450
76,554.5,1450
77,505.5,1450
78,511.5,1450
79,553.5,1450
80,537.0,1450
81,514.0,1450
82,491.0,1450
83,523.5,1450
84,547.5,1450
85,499.5,1450
86,498.0,1450
87,555.5,1480
88,586.0,1480
89,645.5,1480
90,703.0,1480
91,629.0,1480
92,654.5,1480
93,603.5,1480
94,609.0,1480
95,607.5,1480
96,603.5,1480
97,681.5,1480
98,654.0,1480
99,703.5,1480
100,598.0,1480
101,603.5,1480
102,655.0,1480
103,613.0,1480
104,607.0,1480
105,610.0,1480
106,636.0,1480
107,684.0,1480
108,635.5,1480
109,621.0,1480
110,673.0,1480
111,615.5,1480
112,626.5,1480
113,673.0,1480
114,650.0,1480
115,663.0,1480
116,692.0,1480
117,675.5,1480
118,702.0,1480
119,627.0,1480
120,663.0,1480
121,661.5,1480
122,694.5,1480
123,713.0,1480
124,714.0,1480
125,698.5,1480
126,660.0,1480
127,657.5,1480
128,651.5,1480
129,695.0,1480
130,692.5,1480
131,688.5,1480
132,680.0,1480
133,715.0,1480
134,661.5,1480
135,654.0,1480
136,710.0,1480
137,648.0,1480
138,694.0,1480
139,716.5,1480
140,689.5,1480
141,685.0,1480
142,671.5,1480
143,721.5,1480
144,717.0,1480
145,653.0,1480
146,678.0,1480
147,690.5,1480
148,812.0,1480
149,707.0,1480
150,671.0,1480
151,713.0,1480
152,701.0,1480
153,721.0,1480
154,688.0,1480
155,666.0,1480
156,708.5,1480
157,688.5,1480
158,673.0,1480
159,677.5,1480
160,687.5,1480
161,672.0,1480
162,782.5,1480
163,762.0,1480
164,718.0,1480
165,699.5,1480
166,760.0,1480
167,715.0,1480
168,646.0,1480
169,705.5,1480
170,738.5,1480
171,704.5,1480
172,717.5,1480
173,695.5,1480
174,769.5,1480
175,719.5,1480
176,795.5,1480
177,865.5,1480
178,785.5,1480
179,751.5,1480
180,724.0,1480
181,700.5,1480
182,766.0,1480
183,811.5,1510
184,701.5,1510
185,775.5,1510
186,747.5,1510
187,759.0,1510
188,747.0,1510
189,743.0,1510
190,755.0,1510
191,723.5,1510
192,761.0,1510
193,753.5,1510
194,752.0,1510
195,769.0,1510
196,732.5,1510
197,763.5,1510
198,706.5,1510
199,702.5,1510
200,765.5,1510
201,704.0,1510
202,745.5,1510
203,711.5,1510
204,782.0,1510
205,739.0,1510
206,831.0,1510
207,751.0,1510
208,719.5,1510
209,751.5,1510
210,740.5,1510
211,832.5,1510
212,830.0,1510
213,811.5,1510
214,724.0,1510
215,856.5,1510
216,759.0,1510
217,771.0,1510
218,754.0,1510
219,782.0,1510
220,793.0,1510
221,750.0,1510
222,758.5,1510
223,731.0,1510
224,766.5,1510
225,780.5,1510
226,740.5,1510
227,751.5,1510
228,780.5,1510
229,817.0,1510
