generation,average,top
0,27.5,220
1,47.5,220
2,59.0,220
3,75.0,220
4,89.0,220
5,91.0,220
6,99.0,220
7,106.0,220
8,161.5,390
9,149.0,390
10,144.0,390
11,156.5,390
12,150.5,390
13,164.0,390
14,210.5,430
15,228.5,630
16,313.0,1160
17,386.0,1160
18,454.0,1160
19,496.0,1160
20,681.0,1160
21,682.0,1160
22,689.0,1160
23,683.0,1160
24,732.0,1160
25,743.0,1160
26,743.0,1160
27,826.0,1890
28,786.5,1890
29,1041.0,2680
30,1493.0,2680
31,1765.0,3150
32,2085.0,3150
33,2321.0,3150
